sentence,label
well sure from your mother s point of view why else would i come,3
i umm i guess i guess that is kind of why i came,3
breathing,1
laughter,1
laughter,1
no no,1
chris i have been ready a long long time,3
i almost got married two years ago,3
you started to write me,3
every day since,1
beating around the bush,1
i will never forgive you all i would done was sit around wondering if i was crazy waiting so long wondering if you were thinking about me,1
not like that you are not,1
like larry s brother do it like you chris,3
yeah sure,3
how many,3
aw geez,2
mmhmm,3
what would i do with a fortune,1
i know it kind of went out of style did not it,3
you are not sorry you came,3
well,3
what,3
well i was kind of planning of sneaking up on you over the course of a week or so they just take it for granted that we are all set,3
i love you annie i love you,1
i do not really have any imagination that is all i know how to say,1
am i embarrassing you are you see i did not want to do it here with this yard on this porch i wanted it to be somewhere new some place fresh for both of us,1
why did not you let me know,1
give me a,1
give me a kiss,1
oh annie we are going to live now i am going to make you so happy,1
i kissed you,1
hey let us drive some place huh let us get out of here,2
no it is nothing like that it s,2
yeah i suppose i have been but it is going from me,2
i do not even know how to start,2
it is just all mixed up with so many other things you know you know overseas i was in command of a company,2
well i lost them,2
pretty much all,2
you cannot just toss off a thing like that because they were not just men you know,2
like for instance there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks he just put them in my pocket that is a little thing you know but that is what kind of guys i had,2
they did not die they killed themselves for each other i mean that exactly just a little more selfish and they would all be here today,2
to bring that on to the earth again you know is like some kind of monument and i thought i would just make a difference to them,2
but then i came home and it was incredible you know the whole thing was just kind of this random bus accident you know i went back to the rat race again i went to work,2
and i did not want any of it i guess that included you,2
i just want you to know annie,3
fine,3
that is not your flashlight,3
you keep saying my flashlight like it is just yours,0
how is that supposed to make me feel,0
yeah,3
laughter,1
i am cold,2
not particularly,3
that is the wind,3
about what,3
okay is that is that,1
the flashlight the silver one there is only one is not there,3
whose is it,3
oh well yeah of course,3
no,3
of course our flashlight what is yours is mine me flashlight es su flashlight,3
do they always run during a full moon i do not remember was it full last year,3
huh are you cold do you want my jacket no you know we should have brought the blanket our blanket,3
aw do you know i should have brought a six pack too a six pack that would be just the ticket right about now huh,3
god i am so excited i am like a kid i cannot believe i got out of the house with my fly zipped up,1
right,3
wait that is my point too,3
why not,3
honey this is like a natural phenomenon i mean people in kansas would have to get plane reservations and get hotel rooms to see this it is just forty minutes away for us it is too good to pass up,3
yeah but this this moment on the beach is like the highlight of their little lives all that flopping around is laying eggs or what to do spawning or mating or whatever,3
this is a big night for these little guys it is like life s last orgy,3
there is like mystery here there is magic it is like a little bit of the unexplainable i just cannot see how you are not interested,3
god i do not get it you know the first time we came here you said it was the best night of your life,3
and last year i remember distinctly you said you were so excited to get here that you do not remember you stubbed your toe until we were in the car,3
ahh we were not in a good spot,3
we just were not in a good spot i am telling you this is a much better spot i have instincts for these things,3
look there see what is that no that is that is just seaweed,1
god this is great think about this i know you are not interested but just think about this,1
just all at once they turned and they formed this line as long as the california coast and some instinctual little firecracker went off in their bodies and they all just turned as one and started swimming,1
it is single mindedness with no mind it is urgency that is just pure urge,1
so what do you think,1
about all of that about all i was talking about,1
that is the wind,3
about what,3
do not ask me that i hate it when you ask me that you always ask me that it is insulting,0
for god grow up augie the fish are not going to arrive,0
because they never do have they have they ever,0
twice is every time we have tried that is ever,0
i feel like i am always just standing here waiting i feel like this night is going to be the night but it never is,2
for god s sake this is not about fish,0
do you remember the first year we came here it was like four years after we got married,3
you whispered the sweetest most intimate things to me right into my ear so i could feel them as much as hear them and i remember thinking this is it you know finally i am as happy as i am supposed to be,1
i would rather not remember some things i would rather not hope for some things,2
no,3
no,3
i know you are augie i know,2
i know you meant this to be special i know that you wanted it to be right but i just cannot help thinking that i cannot help wishing that i was somewhere else,2
i did not say that,2
you are the one who probably wishes he was with somebody else somebody who does not take things so seriously who could enjoy herself,2
so maybe we are in the wrong spot but we are with the right person,3
hmm i noticed that it is pretty big old white moon,1
augie you bought refreshments,1
i guess we do not need glasses,1
i am beginning to think this might be the right spot after all,1
augie i am sorry,2
or not,3
look at this all of the hairs are standing up on my arm,1
well so what do you think,1
about what i was saying,3
carla can i ask you something now do not take this the wrong way but are you on your period,3
okay so you were fine during that phone call from marge and then dinner was okay and doing the dishes was fine and then i was going to take a shower and you are watching the news and you said the grunions are running tonight do you want to go and i said sure great let us go,3
okay so i am putting out the pets getting the car out of the garage,3
it is when we were driving past that knickerbocker liquor locker you said let us get some champagne i said no time s a wasting or something like that,3
sure all right okay,3
listen do you want to dance,3
do you want me to go get some champagne,3
do you want to take off your shoes,1
do you want to get married again,1
yes it is,3
maybe if you were with someone else too,2
i just i know i do not make you happy,2
you know actually now that you mention it no i don t,3
we have a great view of the moon from here though huh,3
breathing,3
and look what i got here,1
breathing,1
do you want to go home are you cold,3
shh if we are very quiet the fish might come,3
or not,1
laughter that sent shivers up my spine,1
we will behave exquisitely,1
i think i shall do a curtsy,1
yes meaning just that,1
do not laugh at me i am being serious,1
who is they,1
laughter,1
oh elliott worms do not pop,1
aw thank you darling the same applies to you too except that if you so much as look at another woman i will kill you,1
oh charles that was his name he did wiggle so beautifully,1
the manager came in he found us rolling about the floor biting and scratching like panthers laughter how utterly utterly ridiculous,1
laughter and very much sillier,1
i do not care then,1
no wrong number laughter,1
what shall we do if they suddenly walk in on us laughter,1
with perfect poise,1
it is strange things that ought to matter dreadfully they just do not matter at all when one s happy do they,1
well what does it all mean that is what i ask myself in my quest for ultimate truth dear god what does it all mean,1
who knows,1
yes yes with all of his might,1
let us be superficial and just pity those poor philosophers huh let us blow trumpets and squeakers and enjoy the party for as long as we can you know like small idiotic school children,1
oh come and kiss me darling before your body rots and worms pop out of your eye sockets,1
oh see i do not care what you do see you can paint yourself green and run naked through the place vendome and run off with all of the men of the world i shall not say a word just as long as you love me best,1
that was a rouser was not it,1
laughter i will never forget his face laughter,1
laughter we were very much younger then,1
and very much sillier,1
oh you knew there was nothing in that,1
presents it was only a trivial little brooch,1
i did not you worked that whole thing up in your jealous imagination,3
well what of it,3
do not be stupid,0
what,0
no i am just making myself fascinating for you,0
oh it is a woman s duty to allure the man,0
no it isn t,0
you shut up,0
they sting i do not care do you understand i do not care if they bark and they roll about like hoops,0
yes i did quite a lot,0
mind your own business,0
you are quite insufferable i expect it is because you are drunk,0
you have always had a weak head,0
on the contrary a child of two can get violently drunk on only one glass of brandy,0
oh shut up,0
shut up,0
not very funny darling why do not you have some more brandy,0
why,3
there are no people upstairs it is a photographer s studio,3
they are away in tunis,3
fine if you insist on being boorish and idiotic,0
you are far too temperamental try to control yourself,0
i won t let go let go of me listen listen i am sick and tired of listening to you you sadistic bully,0
oh shut up let go i hate you i hate you do you hear you are a conceited and overbearing and utterly impossible,0
this is the end do you hear me finally and forever,0
oh yes i am,0
yes i am stop it stop it let go of me oh you are a cruel fiend i loathe and i hate you marry you again never never never i hope you die in torment you brute beast cad,0
however i believe the real cause of that row was peter burden,3
i knew nothing of the sort you took presents from him,3
you went out of your way to torture me over peter burden,3
what about me,0
i will have a little i think,3
no particular reason anyhow they are very small ones,3
really amanda,0
you going out somewhere dear,3
well as a matter of fact yes that is perfectly true,3
yes it is,3
oh really it is a pity you did not have any brandy it would have made you a little less disagreeable,0
snap snap snap you know you are like a little adder,0
nonsense they have a bag of venom behind their fangs and they snap they snap,0
did you see much of peter burden after our divorce,0
and i suppose you let him kiss you a good deal more than too yes i suppose you guys had a riotous time huh all out no restraint at all well you never really had much anyhow,0
i think i am not in the least bit drunk,0
i think i mentioned once before that i have had three minute liquor glasses the whole evening long a child of two cannot get drunk on that,0
that is very interesting amanda how about a child of four or a child of six or a child of nine we can get a good little conversation going on about this you know intemperate tots,0
look you better turn that off i do not want to wake up the people upstairs,0
well then you will wake up the people downstairs,0
this is no time of year for tunis,3
i will do no such thing,0
will you turn that off it is driving me mad,0
turn it off,0
amanda listen listen,0
oh that is very amusing indeed,0
you are a vile ill tempered loose living wicked little beast and i never want to see you again as long as i live,0
you are not going like this,0
you are not,0
shut up shut up god i would not marry you again if you came crawling back to me on a bended knee you are a vile ill tempered mean little wench and i never want to see you again as long as i live,0
next,0
my window is open,0
no i need your id to give you a second id,0
it is really simple if you have a problem with it maybe you should,0
what do you expect me to do,0
probably,0
do not raise your voice with me,0
do not talk to me like i am a child,0
do you know how long i have been working here how long have you lived in california,0
maybe you never been to the d m v before maybe you should get back in line you know what sit in line again and if you get my number ask for different one,0
uh huh i did not come here get in yelling match either,3
they do not pay me enough to deal people like you,3
yes jones,3
no i do not have a passport,3
did you even look at the form i filled it out all these questions,0
i am not i m not getting to back that line,0
why,0
why because i am sick of talking to you,0
because you are obviously not talking to me you are just yelling at me berating me and telling me i cannot fill out forms right,0
what is happening,3
i do not even know what to tell you,2
what about the birthday party,2
you are going with the same ones,2
it is not the same though,2
mm hmm we will build a bunker and never come out,2
do not say that,2
hey joy come in here,3
i have to go back,2
i just got a letter i have to go back,2
first thing tomorrow morning,2
the national guard is i guess really spread thin and then everyone has to go we all have to go back my whole companies going back,2
so yeah we leave tomorrow,2
we re all shipping out,2
i just got i feel like i am in shock actually,2
i do not know,2
i guess you are just going to have to have it without me,2
hey listen it is going to be okay though all right,2
you are going to be fine,2
i am going to be fine too okay,2
i know i have a good i have a really good group of guys with me,2
we are going to be okay,2
do promise me you are going to take a lot of pictures,2
i know,2
i just wish there was something i could do,2
run away,2
i really do not want to go i do not want to go,2
i love you,2
why,1
is she on the run,1
oh she just needs to marry you,1
that is incredible that is awesome where is she from maybe you can get a dual citizenship,1
that is so cool uh huh,1
laughter why did she pick you where were you,1
you were at a party and she is like hey you seem unattached she is like,1
that is unbelievable yeah,1
well i have known people who have done this before yeah you just it is really fun actually because you have like a fake engagement party and all your friends come over and like,1
yeah yeah and then yeah and then you know like you could like you could do like like sock her for a lot of money,1
like make her rent the apartment that you two have to live together in you know and you will not pay any rent or you pay like a hundred bucks a month or something,1
yeah,1
dude you lucked out,1
yeah my colors are blush and beige what is it do you know,1
oh i do not know laughter,1
i do not know get it in cash,3
yeah,3
how exciting you should have a wedding on the beach,1
yeah at night,1
oh yeah absolutely absolutely,3
how exciting you should make her bring all your friends too,1
garbage she is got to be loaded fifty thousand dollars that is incredible,1
incredible,1
you are a lucky lucky lucky man,1
oh totally yeah,1
the craziest thing just happened to me,1
this girl she just offered me fifty thousand dollars to marry her,1
well she is not a citizen so she wants to get a visa,3
no no no no no no she just she is not a citizen but she wants her visa yeah she is going to pay me fifty thousand dollars to marry her and stay married to her for two years,1
that is like twenty five thousand dollar a year for doing nothing is not that awesome,1
she is actually from england i think well she she spoke english but she had an accent i did not even ask,3
fifty thousand dollars fifty thousand dollars i was just out i just she is well she is a friend of friend but like,1
yeah can you believe that yeah she is like hey i am like sure i will do it i do not care yeah i am like fifty thousand dollars i would totally do it for fifty thousand dollars but the only thing is that is kind of like illegal so like i could go to jail probably for a long if i get caught but,1
it is like i am really going to get married we will have like the whole thing,1
oh good laughter,1
i know what do you think i should,1
oh good idea,1
yeah make her like open the bank account and stuff too,3
it is a good idea,1
i know also i get to like plan the wedding now too that will be fun,1
something blue something new something no i do not know laughter so yeah wonder if she is going to pay me up front but do you think it is bad though do you think they are going to like track the money or something,1
just cash hardcore,3
what should we do where should we get married we should have party,1
yeah like a big like a wedding on the beach that would be nice,1
and then we can honeymoon i want to go tropical though like bahamas or like tahiti or something i just want to like beach and like drink,3
i will make her pay for that i hear she is like totally wealthy she is like royalty or something like and whatever like removed or something but yeah,1
i am going to marry a blue blood laughter,1
will you help me plan,1
you seem kind of down,3
what do you mean,3
there is a lot of people looking for jobs,3
i do not know i mean i just do not think,3
did you ever think it might be your attitude that s,3
i do not know just sometimes you get kind of no i am not saying that i just,3
has anyone ever just said anything like that to you before,3
right sure,3
but i mean you kind of got to you got to fake it til you feel it right,3
i am just saying that if i was looking to hire somebody in the or kind of no no no,3
no i am just saying though that if i was a person who was hiring somebody i would not hire someone who was angry or upset,3
no,3
well you know a little if you were to listen to,3
i just do not want you to fly off the handle,3
you kind of have a short fuse,3
yeah,3
like this right now we are trying have a conversation,3
we are trying to have a conversation and you seem extremely hostile you keep cutting me off,3
i cannot finish the sentence with you without you jumping in,3
and you are always right,3
you have an excuse for everything,3
i am just saying that maybe you should take in some information before you produce more of your own,3
breathing,3
well what kind of field are you looking to go into,3
what,0
okay okay no no no no okay no i need to hear this more come on bring it,0
i am like a sponge i am like soaked up with all this information for like three years i am just dying for a job to like put it in to,0
that is it,3
can i help you,3
i need a little more information,3
what what flight did you come in on,3
georgia,3
there is no need for you to raise your voice sir,3
i have been college educated,3
i speak your language,3
i am just saying you do not need to talk to me like i,3
details details well anyhow can i,3
so you flew in from atlanta,3
four four hours ago,3
do you have any i,3
i would not let you i was not in atlanta i was not in atlanta,3
i had nothing to do with the boarding attendance i am sorry that your seat was wherever it was,3
i have some unfortunate news uh that your bag is not going to be,3
arriving any time soon,3
i am really sorry to tell you this but,3
it is not i can offer you fifty dollars and a reimbursement gift cards for our airline,3
and your future,3
no,3
yes,3
we have actually,3
they do as matter of fact we do not like to publicize it because,3
people would not fly our airline,3
what was that,3
that is unfortunate,3
that is too bad,3
i wish i could give it to you,3
i wish i,3
that is not no,3
no,3
we have plenty of aggressive searching going on it is not there someone s taken it,3
are you insinuating that i do not have a college education and that for some reason that makes you a better person than i am,0
listen shut your smug mouth okay i do not need that,0
i have been sitting here for four hours,0
you people have just been tossing me around like a used hanky,0
you work here,0
okay,3
probably people that work for your company huh,0
do you know what was in that little bag that i could have just easily put in overhead compartment but no i had to check,0
my computer which has all of my data which i am collecting right now,0
yeah it is really unfortunate you know why because i am going to get fired if i do not get that so i need to have that back,0
fifty dollars is not going to cover me for my job okay,0
well you need to find it can i just go back there and look through the bags can i just go back there and just go through maybe i will find it,0
it will be a lot more than what you are doing sitting here and just give me lip service i would like to go back at least do some aggressive searching for my stuff,0
sure yeah right you have plenty of aggressive searching going on aggressive searching drinking coffee and smoking cigarettes,0
i know what you guys do when you are not working you are union people you just sit around on your ass,0
thank you very much,0
you okay,3
what is happened,3
you do not have to if you do not want to,3
i am sorry to hear that,2
you have been taking care of it all,2
oh jesus,2
he sick for awhile,2
was it an accident,3
how was sick,3
well i am confused he was sick or it was an accident,3
oh really fast oh,3
yeah,3
yeah,3
totally yeah,3
mmhmm,3
lock,3
mmhmm,3
the plans you make garbage,3
it leaves a hole for you too,3
it leaves a hole for you too in your plans together,3
it gets better,3
mmhmm,3
mmhmm,3
mmhmm,3
how long did you know each other,3
that is a long time,3
it is good that you were there,3
yeah,3
are there things you wish you would done differently,3
yeah i am just yeah,2
just kind of feel numb you know,2
you did not even hear,2
breathing umm,2
god i have told this story so many times umm,2
i just i just basically lost someone that was really close to me,2
and i have kind of been dealing with all of the the stuff you know the hospital and people work because,2
he kind of did not have anyone to take care of that for him so,2
it is just really really messed up,2
no,2
just like it,2
no i mean it just came on really quick you know i mean it was a garbage it was a sickness but it just,2
what,2
he was sick he got sick he got sick but it happened really really fast you know,2
it was kind of like boom done,2
it is just really weird because he was really young you know and it kind of like,2
it just kind of freaks you out,2
so weird you know that like one days it is like you know sounds so stupid but like one day someone s here and like next day you know they are not here and it just kind of makes you like think about like life and mortality and like that kind of stuff you just like used to take for granted you know,2
exactly you know and like he had so many plans and he was going to do,2
so many things you know,2
what,2
yeah,2
he was a really really good guy,2
a lot of people loved him,2
you know it is like affecting a lot of people it is not just me you know,2
umm,2
for like eight years,2
yeah,2
yeah i am glad i was there glad i glad i got to be there,2
so weird,2
like i can t it s like you know it is like pinch me it is like i cannot believe like i am dealing with this you know,2
yeah,3
laughter for softball that is unbelievable is it slow pitch,1
pinch hitting softball,1
that is incredible,1
that is amazing they pay for everything,1
your housing books everything that is incredible,1
that is incredible do you get like a per diem,1
you should you should look into that,1
that is amazing congratulations good for you,1
oh,3
yeah that you probably you should see one of these victorian houses around by,1
oh venice beach,3
oh you do not like that you are west sider,1
okay that would be way too much of a commute you cannot do that especially i know especially from i do not know what i was going to say i do not know,1
i do not know commuting from what malibu that would be ridiculous,1
oh yeah he would drop you right off at practice,1
they have those neon softballs they are like day glow you can see them anywhere,1
oh that is incredible is it,3
do they have a is it a co ed softball team i mean really you know i did not even know that they have that,1
who do you play like do are you like nationally ranked,1
that is unbelievable,1
i would put that right up there with ping pong,1
i mean not to denigrate what you are doing i think that is great,1
no no i love softball i played softball all the time,1
i am not saying you should be i am not no i think it is great i think you should be incredibly proud yourself especially because you are going to u s c for free for doing it for free,1
you are like the rookie the new kid,1
just watch in five years you will be like on the force you carry around donuts in your back pocket laughter,1
check this out you know how i have told you i have been really into like softball recently,1
well this is totally random i got this full ride scholarship to go to u s c next year to play softball,1
for softball they are going to pay me to go to school is not that awesome,1
yeah well i don t well yeah i can pitch i am not like the pitcher though i am like the pinch hitter guy i mostly just hit but i guess i am going to have to yeah and then i play shortstop too but it is so ex the good news is i get to stay here,1
i know for softball yeah,1
yeah everything every like free ride and i get to you know like be on like a trojans sports team too and it is like cool is not it awesome,1
i do not know i should ask yeah i will,1
thank you,1
but i do not know i want to live in the housing that they give me though because i think i want to you know like get like a nicer place,1
where should i move,1
that is a really good idea or i could go to like santa monica go beach venice beach yeah a little dirty though i do not want to go to venice beach but malibu all right,1
professional softball player malibu laughter,1
